"route_id","route_desc","route_long_name","stop_name","stop_id","stop_lat","stop_lon"
"245","Local Bus","Quincy Center Station - Mattapan Station","197 Whitwell St","4393",42.249237,-71.01093
"245","Local Bus","Quincy Center Station - Mattapan Station","Whitwell St opp Maywood Ave","4394",42.248865,-71.009538
"245","Local Bus","Quincy Center Station - Mattapan Station","Whitwell St @ Deldorf St","4395",42.248474,-71.008038
"245","Local Bus","Quincy Center Station - Mattapan Station","Whitwell St @ Granite St","4396",42.247835,-71.0055
"9","Local Bus","City Point - Copley Station","E Broadway @ H St","44",42.335548,-71.041754
"10","Local Bus","City Point - Copley Square","E Broadway @ H St","44",42.335548,-71.041754
"26","Local Bus","Ashmont Station - Norfolk Street Loop","Norfolk St opp Nelson St","440",42.283529,-71.083184
"245","Local Bus","Quincy Center Station - Mattapan Station","Brook Rd @ Central Ave","4404",42.258447,-71.081447
"26","Local Bus","Ashmont Station - Norfolk Street Loop","Norfolk St @ Willowwood St","441",42.282708,-71.085274
"26","Local Bus","Ashmont Station - Norfolk Street Loop","Norfolk St @ Morton St","443",42.281691,-71.086974
"97","Local Bus","Malden Center Station - Wellington Station","Medford St @ Brackenbury St","44330",42.418162,-71.068466
"97","Local Bus","Malden Center Station - Wellington Station","Medford St @ Brackenbury St","44413",42.418263,-71.068234
"26","Local Bus","Ashmont Station - Norfolk Street Loop","Norfolk St @ Morton St","445",42.28219,-71.086249
"426","Local Bus","Central Square, Lynn - Haymarket or Wonderland Station","Market Square @ Western Ave","4451",42.462708,-70.964894
"455","Local Bus","Salem Depot - Wonderland Station","Market Square @ Western Ave","4451",42.462708,-70.964894
"436","Local Bus","Liberty Tree Mall - Central Square, Lynn via Goodwin Circle","Market Square @ Western Ave","4451",42.462708,-70.964894
"442","Local Bus","Marblehead - Wonderland Station via Humphrey Street","Market Square @ Western Ave","4451",42.462708,-70.964894
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","North St opp Lynde St","4453",42.521623,-70.898764
"455","Local Bus","Salem Depot - Wonderland Station","North St opp Lynde St","4453",42.521623,-70.898764
"456","Local Bus","Salem Depot - Central Square, Lynn","North St opp Lynde St","4453",42.521623,-70.898764
"451","Commuter Bus","North Beverly Station - Salem Depot","North St opp Lynde St","4453",42.521623,-70.898764
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Essex St @ Beckford St","4455",42.52062,-70.901543
"456","Local Bus","Salem Depot - Central Square, Lynn","Essex St @ Beckford St","4455",42.52062,-70.901543
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Essex St @ Monroe St","4456",42.520157,-70.902724
"456","Local Bus","Salem Depot - Central Square, Lynn","Essex St @ Monroe St","4456",42.520157,-70.902724
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Essex St @ Flint St","4457",42.519091,-70.904073
"456","Local Bus","Salem Depot - Central Square, Lynn","Essex St @ Flint St","4457",42.519091,-70.904073
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Essex St opp Warren St","4458",42.516853,-70.905553
"456","Local Bus","Salem Depot - Central Square, Lynn","Essex St opp Warren St","4458",42.516853,-70.905553
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Highland Ave @ Proctor St","4459",42.513247,-70.907433
"456","Local Bus","Salem Depot - Central Square, Lynn","Highland Ave @ Proctor St","4459",42.513247,-70.907433
"26","Local Bus","Ashmont Station - Norfolk Street Loop","Norfolk St @ Nelson St","446",42.283476,-71.083052
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Highland Ave @ Almeda St","4461",42.51045,-70.910029
"456","Local Bus","Salem Depot - Central Square, Lynn","Highland Ave @ Almeda St","4461",42.51045,-70.910029
"34E","Local Bus","Walpole Center - Forest Hills Station","Washington St opp Mansion Dr","44618",42.163083,-71.214986
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Highland Ave @ Cherry Hill Ave","4462",42.509142,-70.911147
"456","Local Bus","Salem Depot - Central Square, Lynn","Highland Ave @ Cherry Hill Ave","4462",42.509142,-70.911147
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Highland Ave @ Valley St","4463",42.508524,-70.91222
"456","Local Bus","Salem Depot - Central Square, Lynn","Highland Ave @ Valley St","4463",42.508524,-70.91222
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Highland Ave @ Freeman Rd","4464",42.507647,-70.915103
"456","Local Bus","Salem Depot - Central Square, Lynn","Highland Ave @ Freeman Rd","4464",42.507647,-70.915103
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Highland Ave @ Marlborough Rd","4465",42.503097,-70.924177
"456","Local Bus","Salem Depot - Central Square, Lynn","Highland Ave @ Marlborough Rd","4465",42.503097,-70.924177
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Highland Ave @ Thomas Circle","4467",42.501398,-70.925848
"456","Local Bus","Salem Depot - Central Square, Lynn","Highland Ave @ Thomas Circle","4467",42.501398,-70.925848
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Highland Ave @ Ravenna Ave","4469",42.497213,-70.931319
"456","Local Bus","Salem Depot - Central Square, Lynn","Highland Ave @ Ravenna Ave","4469",42.497213,-70.931319
"26","Local Bus","Ashmont Station - Norfolk Street Loop","Norfolk St @ Capen St","447",42.284161,-71.081229
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Highland Ave @ 400 Highland Place","4470",42.49614,-70.932565
"456","Local Bus","Salem Depot - Central Square, Lynn","Highland Ave @ 400 Highland Place","4470",42.49614,-70.932565
"450","Local Bus","Salem Depot - Wonderland or Haymarket Station","Highland Ave @ Belleaire Ave","4472",42.489357,-70.936838
